id,platform,title,brand,model,material,color,condition,price_brl,original_price_brl,sales,rating,reviews,seller,seller_type,state,city,shipping_free,installments_count,interest_free,available_quantity,listed_date
MLB-0142,Mercado Livre,Case Poco X6 Transparente Policarbonato - Xiaomi,Xiaomi,Poco X6,Policarbonato,Marrom,Novo,59.9,,23865,4.4,1400,Prime Cases,Vendedor,RJ,Niterói,False,9,True,225,2026-05-02
MLB-0101,Mercado Livre,Case iPhone 16 Anti-Risco Glitter Policarbonato,Apple,iPhone 16,Policarbonato,Verde,Novo,36.1,52.0,22466,4.4,1272,Case Mania,Vendedor,CE,Sobral,True,,,16,2026-02-27
MLB-0201,Mercado Livre,Case iPhone 13 Com Desenho Silicone Vermelho - Apple,Apple,iPhone 13,Silicone,Vermelho,Novo,23.1,,20501,4.6,2377,CaseHub,MercadoLíder,SP,São Bernardo do Campo,True,9,True,122,2026-03-17
MLB-0292,Mercado Livre,Capa de Celular Poco X6 Lisa Capa com Suporte,Xiaomi,Poco X6,Capa com Suporte,Branco,Novo,35.8,56.6,18631,4.1,939,Digital Case BR,Vendedor,RJ,Niterói,False,,,152,2026-06-02
MLB-0469,Mercado Livre,Capa de Celular realme Note 50 Anti-Risco Lisa À Prova d'Água Verde - realme,realme,realme Note 50,À Prova d'Água,Verde,Novo,39.9,58.3,16010,4.9,1211,Prime Cases,MercadoLíder,MG,Contagem,False,,,165,2025-12-28
MLB-0311,Mercado Livre,Case Galaxy S25 Ultra Com Desenho Glitter TPU com Cordão Branco - Samsung,Samsung,Galaxy S25 Ultra,TPU com Cordão,Branco,Novo,25.1,,12925,4.9,837,Max Acessórios,Vendedor,MG,Belo Horizonte,True,3,True,299,2025-12-01
MLB-0603,Mercado Livre,Capa de Celular iPhone 11 Geométrica Glitter Couro com MagSafe Laranja,Apple,iPhone 11,Couro com MagSafe,Laranja,Novo,79.1,98.4,12220,5.0,1365,TecnoCases,MercadoLíder,ES,Vitória,True,12,True,66,2025-12-02
MLB-0362,Mercado Livre,Capinha Galaxy A55 Anti-Risco Colorida Capa com Suporte Azul,Samsung,Galaxy A55,Capa com Suporte,Azul,Novo,31.4,54.1,7602,5.0,696,Digital Case BR,Vendedor,CE,Juazeiro do Norte,False,3,True,49,2025-08-19
MLB-0321,Mercado Livre,Capa Protetora Galaxy A35 Com Desenho Colorida TPU - Samsung,Samsung,Galaxy A35,TPU,Rosa,Novo,14.3,,7596,4.7,207,Prime Cases,MercadoLíder,MG,Belo Horizonte,True,6,False,140,2026-02-27
MLB-0191,Mercado Livre,Capinha Galaxy M15 Glitter Acrílico Cristal Roxo - Samsung,Samsung,Galaxy M15,Acrílico Cristal,Roxo,Novo,37.6,,7511,4.6,877,CaseHub,Vendedor,SP,Osasco,False,,,194,2025-09-05
