order_id,date,sku,title,category,color,qty,unit_price,revenue,cost,profit,margin,shipping_fee,shipping_cost,coupon_discount,ad_spend,ad_impressions,ad_clicks,channel,payment,installments_count,status,views,stock,state,city
MLB2026-000001,2026-02-19,CAP-IP15-CRI,Capa iPhone 15 Acrílico Cristal Transparente,Cristal,Transparente,1,29.9,29.9,13.27,3.96,13.2,12.9,9.03,0.0,3.64,787,12,Anúncios,Pix,,Concluída,28,41,SP,Osasco
MLB2026-000002,2026-02-19,CAP-IP14-COU,Capa iPhone 14 Couro Sintético Premium,Couro,Marrom,1,44.9,44.9,18.38,22.8,50.8,0.0,0.0,0.0,3.72,2393,24,Anúncios,Cartão de débito,,Concluída,104,128,DF,Ceilândia
MLB2026-000003,2026-02-19,CAP-IP14-COU,Capa iPhone 14 Couro Sintético Premium,Couro,Marrom,1,44.9,44.9,17.59,26.16,58.3,0.0,0.0,0.0,1.15,2113,23,Anúncios,Pix,,Enviada,104,127,RJ,Niterói
MLB2026-000004,2026-02-19,CAP-IP13-SIL,Capa iPhone 13 Silicone Colorida,Silicone,Rosa,1,21.9,21.9,10.04,-2.07,-9.5,19.9,13.93,0.0,0.0,0,0,Orgânico,Cartão de crédito,6,Concluída,64,244,MG,Contagem
MLB2026-000005,2026-02-19,CAP-IP12-TPU,Capa iPhone 12 TPU Transparente,TPU,Transparente,1,16.9,16.9,7.03,5.37,31.8,0.0,0.0,0.0,4.5,3149,85,Anúncios,Pix,,Enviada,109,72,RJ,Rio de Janeiro
MLB2026-000006,2026-02-19,CAP-GA55-SIL,Capa Galaxy A55 Silicone Fosca,Silicone,Verde,1,22.9,22.9,8.11,14.79,64.6,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,82,167,SP,Campinas
MLB2026-000007,2026-02-19,CAP-GA55-CRI,Capa Galaxy A55 Cristal Ultra Fino,Cristal,Transparente,1,26.9,26.9,13.1,8.82,32.8,0.0,0.0,4.98,0.0,0,0,Orgânico,Boleto,,Enviada,69,143,SP,São Bernardo do Campo
MLB2026-000008,2026-02-19,CAP-GA54-TPU,Capa Galaxy A54 TPU Antirrisco,TPU,Cinza,1,15.9,15.9,6.78,-0.98,-6.2,12.9,9.03,0.0,1.07,695,9,Anúncios,Pix,,Enviada,20,184,RS,Pelotas
MLB2026-000009,2026-02-19,CAP-GA54-TPU,Capa Galaxy A54 TPU Antirrisco,TPU,Cinza,1,15.9,15.9,7.04,-5.07,-31.9,19.9,13.93,0.0,0.0,0,0,Orgânico,Pix,,Concluída,20,183,SP,Guarulhos
MLB2026-000010,2026-02-19,CAP-GA56-MAG,Capa Galaxy A56 com MagSafe,MagSafe,Roxo,1,47.9,47.9,21.71,26.19,54.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Cartão de crédito,,Enviada,7,92,PA,Belém
MLB2026-000011,2026-02-19,CAP-GS23-TPU,Capa Galaxy S23 TPU Camuflada,TPU,Camuflado,1,19.9,19.9,7.27,3.6,18.1,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Cancelada,9,214,RJ,Duque de Caxias
MLB2026-000012,2026-02-19,CAP-RN14-SIL,Capa Redmi Note 14 Silicone,Silicone,Preto,1,18.9,18.9,8.19,10.71,56.7,0.0,0.0,0.0,0.0,0,0,Orgânico,Pix,,Concluída,27,140,MG,Juiz de Fora
MLB2026-000013,2026-02-19,CAP-RN13-TPU,Capa Redmi Note 13 TPU Cristal,TPU,Transparente,1,14.9,14.9,5.58,0.29,1.9,12.9,9.03,0.0,0.0,0,0,Orgânico,Pix,,Concluída,39,230,MG,Belo Horizonte
